id,cluster,title
req-heuristic-0001,4,EVSIDS-MTF/PhaseBoost (EMPB): Activity-Recency-Phase Hybrid Branching
req-heuristic-0002,4,Phase-Weighted Activity with Recency (PWAR)
req-heuristic-0003,0,EVSIDS-MTF Hybrid Score (EMHS): Phase-Aware Temporal Activity Branching
req-heuristic-0004,4,RESTART-PHASED HYBRID ACTIVITY (RPHA) Heuristic
req-heuristic-0005,4,R-ACE (Recency-Augmented Conflict-Exploration) Heuristic
req-heuristic-0006,1,STAGE: Stability-Timestamp-Guided EVSIDS Branching
req-heuristic-0007,0,Phase-Aware Adaptive Recency-Weighted EVSIDS (PARWE)
req-heuristic-0008,4,RECAPS: Recent Conflict and Activity Phase-Scoring
req-heuristic-0009,3,EVSIDS-TQBF: Timestamp-Queued Branch Frequency Heuristic
req-heuristic-0010,3,Phase-Adaptive Timestamped Activity (PATA) Heuristic
req-heuristic-0011,1,STAMP: Stable-Timestamp Activity Mixing for Propagation
req-heuristic-0012,4,Conflict-Phase Adaptive Queue Score (CPAQS)
req-heuristic-0013,4,Phase-Aware Conflict-Weighted Timestamp Scoring (PACT)
req-heuristic-0014,4,EVCB: Exponentially-Weighted VSIDS with Conflict-Bump Backoff
req-heuristic-0015,1,DYNASCORE: Dynamic Activity & Recency-Weighted Branching
req-heuristic-0016,3,RECAPS: Recency- and Conflict-Aware Phase-Scored Branching
req-heuristic-0017,5,EVSBUMP: EVSIDS-Bump Hybrid Branching Heuristic
req-heuristic-0018,4,RECAPS: Recency- and Conflict-Aware Phase-Scored branching
req-heuristic-0019,4,PHASE-WEIGHTED RESTART-AWARE SCORING (PHASER)
req-heuristic-0020,6,FAST-Phase Adaptive Score Timestamping (FAST-PAST) Heuristic
req-heuristic-0021,4,Dynamic Phase-Aware EVSIDS (DPA-EVSIDS)
req-heuristic-0022,1,ABES: Activity-Burst with Early-Staleness Branching
req-heuristic-0023,6,Dynamic Conflict-Time-Centric Scoring (DyCTS)
req-heuristic-0024,6,Phase-Aware Recent-Conflict Boosting (PARCB) Heuristic
req-heuristic-0025,4,RELEVANT–RECENCY Variable Scoring (R2VS)
req-heuristic-0026,1,EVSMT: Exponentially-Weighted Stable-Move-To-Front Heuristic
req-heuristic-0027,4,"""Conflict-Phase Adaptive Activity (CPAA) Heuristic"""
req-heuristic-0028,1,SCORE-ADAPT: Stability-Conditioned Ordered Ranking with EVSIDS and Recency
req-heuristic-0029,4,Phase-Aware Conflict-Temporal (PACT) Heuristic
req-heuristic-0030,4,"EVCBT: EVSIDS-Value, Conflict-Boosted Timestamp Heuristic"
req-heuristic-0031,4,DYN-EVSIDS-TQ: Dynamic EVSIDS-Timestamped Queue Branching
req-heuristic-0032,0,PHASE-AWARE ACTIVITY WITH RECENCY (PAAR)
req-heuristic-0033,1,EVSIDS-Recency Hybrid (ERH) Branching Heuristic
req-heuristic-0034,3,AMPHIBIAN – Adaptive Multi-Phase Hybrid Branching via Incremental Activity and Novelty
req-heuristic-0035,0,EVSIDS-MTF Hybrid with Adaptive Phase-Aware Prioritization (EMAP)
req-heuristic-0036,4,Phase-Aware Recency-Weighted Activity (PARWA)
req-heuristic-0037,3,EVSIDS-Biased Temporal Impact (EBTI) Heuristic
req-heuristic-0038,1,EVSIDS-Bump Hybrid (EBH): Adaptive Recency-Weighted Branching
req-heuristic-0039,4,Phase-Adaptive Temporal Activity Score (PATAS)
req-heuristic-0040,3,EVSIDS-Bump Hybrid (EBH) Heuristic
req-heuristic-0041,4,Phase-Aware Conflict-Time Weighted Branching (PACTWB)
req-heuristic-0042,0,RECAP: Recency- and Conflict-Adaptive Priority Heuristic
req-heuristic-0043,1,DAS-BRANCH: Dual-Activity & Staleness Branching
req-heuristic-0044,4,MIRA: Multi-Impact Recency-Augmented Branching Heuristic
req-heuristic-0045,4,DVSIDS-MTF: Decaying VSIDS with Move-to-Front Recency Bias
req-heuristic-0046,4,Phase-Age Weighted EVSIDS (PAWS)
req-heuristic-0047,1,EVCB: Exponentially-Weighted VSIDS with Conflict-Bump Bias
req-heuristic-0049,4,DRVS – Dynamic Recency-Weighted Variable Selection
req-heuristic-0050,4,EVSIDS-Recency Hybrid (ERH) Branching Heuristic
req-heuristic-0051,4,Phase-Aware Adaptive Queue Score (PAQS) Heuristic
req-heuristic-0052,4,Stability-Weighted Activity with Recency Boost (SWAR-B)
req-heuristic-0053,6,Phase-Aware Conflict-Temporal (PACT) Branching Heuristic
req-heuristic-0054,4,EVSIDS-Timestamp Hybrid (ETH) Branching Heuristic
req-heuristic-0055,4,REACTIVSIDS (Recency-Enhanced Adaptive Conflict and Timestamped VSIDS)
req-heuristic-0056,0,PHASE-BOOSTED RECENCY-ACTIVITY (PBRA) Heuristic
req-heuristic-0057,6,EVSIDS-MTF Hybrid Priority (EMHP) Heuristic
req-heuristic-0058,4,EVSIDS-PhaseTrail Hybrid (EPTH) Heuristic
req-heuristic-0059,4,EVSIDS-Recency Phase-Aware Hybrid (ERPAH)
req-heuristic-0060,1,RECAPS: Recency-Enhanced Conflict Activity Priority Scoring
req-heuristic-0061,2,EVSIDS-Age Momentum (EAM) Branching
req-heuristic-0062,3,Hybrid Adaptive Recency-Impact Score (HARIS)
req-heuristic-0063,1,EVRAT: Exponentially-Weighted VSIDS with Recency and Adaptive Tie-breaking
req-heuristic-0064,4,RSM-EV: Recency-Scaled Max-EVSIDS Heuristic
req-heuristic-0065,1,Dual-Phase Temporal Activity Selection (DPTAS)
req-heuristic-0066,4,Recency-Weighted EVSIDS (RW-EVSIDS)
req-heuristic-0067,6,REVIS – Recency-Enhanced VSIDS with Inactivity Suppression
req-heuristic-0068,4,RECAPS: Recency- and EVSIDS-Combined Adaptive Phase-Scoring
req-heuristic-0069,1,EVSBQ: Exponential VSIDS-Boosted Queue Heuristic
req-heuristic-0070,1,EVSIDS-Timestamp Hybrid (ETH) Branching
req-heuristic-0071,5,DASH: Dynamic Activity and Stability Hybrid
req-heuristic-0072,3,QVSIDS-MTF: Queue-Weighted VSIDS with Move-To-Front Boost
req-heuristic-0073,4,EVWAF: Exponential Variable-Weighted Activity with Freshness
req-heuristic-0074,3,STRIDE: Stable-Timestamped Reinforced Interleaved Decision Engine
req-heuristic-0075,1,RIBS: Recency-Impact Balanced Scoring
req-heuristic-0076,4,EVCB: Exponential VSIDS-Conflict-Bump Hybrid
req-heuristic-0077,3,Fused Adaptive Recency-Activity (FARA) Branching
req-heuristic-0078,4,RECAPS — Recency- and Conflict-Adjusted Phase Scoring
req-heuristic-0079,3,RATIO: Recency-Adjusted Temporal Impact Ordering
req-heuristic-0080,3,REVS: Recency-Enhanced VSIDS with Adaptive Phase Steering
req-heuristic-0081,2,Phase-Aware Adaptive Conflict-Recency (PACR) Heuristic
req-heuristic-0082,6,Phase-Aware Conflict-EVSIDS (PACE)
req-heuristic-0083,1,Stabilized Activity & Freshness Branching (SAFB)
req-heuristic-0084,1,Phase-Guided Recency-Weighted EVSIDS (PGRW-EVSIDS)
req-heuristic-0085,6,Phase-Aware EVSIDS-Recency (PAER) Branching
req-heuristic-0086,6,SCORE-MIX: Conflict-Time-Weighted EVSIDS (CTW-EVSIDS)
req-heuristic-0087,6,Reinforced Timestamped Activity Selection (RTAS)
req-heuristic-0088,4,RECAP: Recency- and Conflict-Adjusted Priority
req-heuristic-0089,4,RECENT-ACT: Recency-Weighted EVSIDS Branching
req-heuristic-0090,6,Diversity-Weighted EVSIDS with Recency (DWER)
req-heuristic-0091,6,Phase-Guided Timestamped EVSIDS (PT-EVSIDS)
req-heuristic-0092,0,RMS-Phase Adaptive Branching (RMS-PAB)
req-heuristic-0093,1,DASH: Dual-Activity Scoring with History
req-heuristic-0094,4,RECAPS: Recency- and EVSIDS-Combined Adaptive Phase-Scoring
req-heuristic-0095,1,EVSIDS-MTF Hybrid with Adaptive Phase-Recency (EMAP)
req-heuristic-0096,4,Phase-Aware Conflict History Branching (PACHiB)
req-heuristic-0097,0,Phase-Weighted Adaptive Recency-Impact Selection (PARIS)
req-heuristic-0098,4,EVSIDS-QB Hybrid (EQB): Queue-Biased Activity Branching
req-heuristic-0099,1,EVSIDS-Recency Hybrid (ERH) Branching
req-heuristic-0100,6,EVSIDS-Phase Momentum (EPM) Heuristic
req-heuristic-0101,3,PaRS-VMTF: Phase-aware Recency-Scaled VSIDS with Variable Move-To-Front
req-heuristic-0102,0,Phase-Weighted Activity Queue (PWAQ) Heuristic
req-heuristic-0103,1,REVSID-MTF: Recency-Weighted EVSIDS with Move-to-Front Bias
req-heuristic-0104,4,RECAPS: Recency-Enhanced Conflict and Activity Prioritized Scoring
req-heuristic-0105,5,Conflict-Phase Timestamp Integration (CPTI) Heuristic
req-heuristic-0106,0,Stability-Aware Activity Decay Hybrid (SADH)
req-heuristic-0107,3,PHASE-AWARE RECENT ACTIVITY (PARA) Heuristic
req-heuristic-0108,4,Dual-Phase Adaptive Recency-Impact (DARI) Heuristic
req-heuristic-0109,4,DYN-MIX: Dynamic Multi-Signal Branching
req-heuristic-0110,5,RACE: Recency-Augmented Conflict-Exploration Heuristic
req-heuristic-0111,0,Phase-Guided Dual-Activity Branching (PGDAB)
req-heuristic-0112,2,PHASED-EVSIDS/RECENCY (PER) Heuristic
req-heuristic-0113,1,Recency-Weighted Phase-Aware EVSIDS (ReWiPE)
req-heuristic-0114,4,PHASED-IMPACT EVSIDS (PIE) Heuristic
req-heuristic-0115,4,Adaptive Conflict-Phase Weighted EVSIDS (ACP-EVSIDS)
req-heuristic-0116,4,EVSIDS-MTF Fusion (EMF Branching Heuristic)
req-heuristic-0117,1,Adaptive Conflict Queue-Weighted Activity (ACQWA)
req-heuristic-0118,4,EVSIDS-Phase-Recency Hybrid (EPRH) Heuristic
req-heuristic-0119,4,EVSIDS-MTF Hybrid Activity Score (EMHAS)
req-heuristic-0120,0,Phase-Aware Temporal Activity (PATA) Heuristic
req-heuristic-0121,4,DynaPhase-Impact Score (DPIS) Heuristic
req-heuristic-0122,6,RECENT-IMPACT SAT (RISAT) Heuristic
req-heuristic-0123,4,REACTIV (Recency-Enhanced Activity and Conflict-Time Integrated Variable Selection)
req-heuristic-0124,0,Phase-Aware Conflict Recency Scoring (PACRS)
req-heuristic-0125,4,---
req-heuristic-0126,6,Phase-Aware Time-Weighted EVSIDS (PaTW-EVSIDS) Heuristic
req-heuristic-0127,6,EVSIDS-MTF Hybrid Heuristic (EMH): Conflict-Recency-Guided Branching
req-heuristic-0128,6,EVSIDS-Recency Hybrid (ERH): Recency-Weighted Activity Branching
req-heuristic-0129,0,DASV: Dynamic Activity–Staleness Voting
req-heuristic-0130,4,Phase-Aware Conflict Momentum (PACM) Heuristic
req-heuristic-0131,3,EVSIDS-Recency Hybrid (ERH): Adaptive Activity-Recency Branching
req-heuristic-0132,4,Phase-Impact Adaptive Scoring (PIAS)
req-heuristic-0133,1,EVSIDS-Recency Adaptive Scoring (ERAS)
req-heuristic-0134,6,Phase-Aware Adaptive Recency Activity (PARA) Heuristic
req-heuristic-0135,0,CBLVS: Conflict-Biased Lookback Variable Scoring
req-heuristic-0136,3,RVSIDS-MTF: Recency-Weighted VSIDS with Move-To-Front Smoothing
req-heuristic-0137,4,Conflict-Phased Activity Reweighting (CPAR)
req-heuristic-0138,0,PHaT-EVSIDS: Phase-aware Hybrid Activity and Timestamp EVSIDS
req-heuristic-0139,1,Recency-Weighted Adaptive Stability (RWAS) Heuristic
